,agency_ambiguous,agency_anthropogenic,agency_non-anthropogenic,agency_nonanthropogenic,agency_unknown,alteration_fauna,alteration_flora,alteration_human_bodies,alteration_weather,authoritarianism_ableist,authoritarianism_cultural,authoritarianism_gynocentric,authoritarianism_health,authoritarianism_market,authoritarianism_military,authoritarianism_racism,authoritarianism_religion,authoritarianism_reproduction,authoritarianism_social,authoritarianism_technological,censorship,conflict_economic,conflict_information,conflict_interpolity,conflict_intrapolity,depletion_biosphere,depletion_fossil_fuels,eschatological_alteration,event_subversion,event_war,familism,government_confessional,government_corporate,government_degradation,government_military,government_nonhuman,government_oligarchical,kernel_ intrasocietal,kernel_extrasocietal,kernel_inconclusive,kernel_intra-societal,kernel_intrasocietal,kernel_natural,kernel_non-specified,kernel_nonspecified,oligarchical government,ontological_alteration,pollution_land,population_decline,prosocial_into_antisocial,scale_continental,scale_local,scale_multi-planetary,scale_multi-versal,scale_multiplanetary,scale_multiversal,scale_nonspecified,scale_planetary,scale_universal,scale_unknown,segregationism_sexual,segregationism_social,type_environmental,type_metaphysical,type_subversion,type_war,type_war kernel_inconclusive,use_of_force_civilians
agency_ambiguous,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,9,0,0,0,0,0,5,2,2,13,1,0,0,0,2,9,1,9,3,0,1,0,0,2,5,10,3,6,0,1,0,0,0,15,0,0,0,7,7,5,9,4,0,14
agency_anthropogenic,0,205,0,0,0,1,1,6,1,0,2,0,2,8,0,2,4,2,2,5,48,23,34,1,57,2,2,1,4,1,58,4,15,79,12,3,11,6,13,17,4,158,3,0,3,1,2,3,29,56,11,69,3,1,5,10,0,104,2,0,6,86,33,21,100,45,1,95
agency_non-anthropogenic,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,3,0,2,4,0,0,0,1,2,1,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,0,0,0,4,3,0,2,2,0,0
agency_nonanthropogenic,0,0,0,33,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,8,2,2,2,17,0,0,0,0,0,15,0,3,18,1,0,1,0,9,0,0,5,18,0,1,0,0,0,3,11,1,7,0,0,0,0,0,25,0,0,3,6,15,3,12,3,0,16
agency_unknown,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0,0,1,1,0,2,0,2,2,0,0,1,1,2,0,2,0,0,0,0,2,3,0,1,2,2,2,0,5,1,0,6
alteration_fauna,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
alteration_flora,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
alteration_human_bodies,1,6,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,0,4,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,6,0,0,0,1,0,0,2,5,0,3
alteration_weather,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
authoritarianism_ableist,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
