,agency_ambiguous,agency_anthropogenic,agency_anthropogenic type_metaphysical kernel_intrasocietal,agency_non-anthropogenic,agency_nonanthropogenic,agency_unknown,alteration_fauna,alteration_flora,alteration_human_bodies,alteration_weather,antisocial_into_prosocial,authoritarianism_androcentrism,authoritarianism_cultural,authoritarianism_gynocentric,authoritarianism_language,authoritarianism_market,authoritarianism_religion,authoritarianism_reproduction,authoritarianism_social,authoritarianism_technological,censorship,conflict_economic,conflict_information,conflict_interpolity,conflict_intrapolity,depletion_biosphere,depletion_fossil_fuels,depletion_water,eschatological_alteration,event_subversion,event_war kernel_intrasocietal scale_local,familism,government_confessional,government_corporate,government_degradation,government_military,government_nonhuman,government_oligarchical,kernel_ intrasocietal,kernel_extrasocietal,kernel_extrasocietal scale_local,kernel_extrasocietal scale_multiplanetary,kernel_extrasocietal scale_planetary,kernel_inconclusive,kernel_inconclusive scale_local,kernel_inconclusive scale_planetary,kernel_intra-societal,kernel_intrasocietal,kernel_intrasocietal scale_local,kernel_intrasocietal scale_planetary,kernel_natural,kernel_non-specified,kernel_nonspecified,ontological_alteration,pollution_biosphere,pollution_land,pollution_radiation,population_decline,prosocial_into_antisocial,scale_continental,scale_local,scale_multi-planetary,scale_multi-versal,scale_multiplanetary,scale_multiversal,scale_nonspecified,scale_planetary,scale_universal,scale_unknown,segregationism_sexual,segregationism_social,type_environmental,type_metaphysical,type_subversion,type_subversion kernel_inconclusive,type_subversion kernel_intrasocietal,type_war,type_war kernel_inconclusive,use_of_force_civilians,wmd_use_chemical,wmd_use_nuclear
agency_ambiguous,25,0,0,0,0,0,0,0,5,3,0,0,4,0,0,1,0,0,3,4,0,1,20,2,18,3,0,0,1,0,0,4,0,7,21,0,1,0,0,1,1,0,0,8,0,1,1,9,0,0,3,0,1,12,2,0,0,17,25,3,5,0,1,0,0,0,14,0,0,1,24,7,5,9,0,0,4,0,7,0,0
agency_anthropogenic,0,204,0,0,0,0,8,7,53,25,5,1,10,6,2,12,2,8,48,37,22,22,130,35,105,22,1,4,7,4,1,41,2,49,179,10,15,15,6,11,0,1,1,12,1,3,4,145,6,2,3,0,3,62,12,8,1,129,200,11,61,3,1,4,8,0,99,2,0,13,156,33,20,96,1,3,45,1,73,1,7
agency_anthropogenic type_metaphysical kernel_intrasocietal,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
agency_non-anthropogenic,0,0,0,7,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,0,0,0,0,0,3,0,1,6,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,7,7,0,1,0,0,0,0,0,6,0,0,0,7,3,0,2,0,0,2,0,2,0,0
agency_nonanthropogenic,0,0,0,0,33,0,1,0,8,6,0,0,2,0,0,0,0,3,3,0,2,1,24,3,23,4,0,0,2,0,0,11,1,3,31,4,0,0,0,9,0,0,0,0,0,0,0,5,0,0,18,0,1,14,0,0,0,26,33,1,7,0,0,0,0,0,25,0,0,7,23,15,3,12,0,0,3,0,14,0,0
agency_unknown,0,0,0,0,0,8,0,0,1,2,0,1,0,1,0,1,1,0,2,1,2,1,3,1,3,2,0,0,0,0,0,0,0,2,7,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,2,4,2,0,0,4,8,0,2,0,0,0,0,2,3,0,1,2,5,2,0,5,0,0,1,0,2,0,0
alteration_fauna,0,8,0,0,1,0,9,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,4,0,0,0,0,2,6,1,3,0,3,1,0,0,0,1,0,3,0,0,0,1,0,0,0,7,4,4,1,9,8,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,8,0,2,0,4
alteration_flora,0,7,0,0,0,0,5,7,5,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,4,0,0,0,0,2,4,0,3,0,0,0,0,0,0,1,0,3,0,2,0,1,0,0,0,6,1,1,1,7,5,0,1,0,0,0,0,0,2,0,0,0,2,2,1,0,0,0,4,0,1,0,4
alteration_human_bodies,5,53,0,2,8,1,5,5,69,1,4,0,1,0,0,6,0,0,1,15,0,6,45,16,33,1,0,0,7,1,0,4,0,27,60,7,6,2,1,3,0,1,0,7,0,3,0,43,1,2,6,0,0,36,5,2,1,46,67,1,8,2,0,2,4,0,45,0,0,1,52,11,7,34,1,1,14,0,21,0,7
alteration_weather,3,25,0,3,6,2,0,1,1,39,0,0,0,0,0,0,0,0,1,2,0,11,7,2,9,32,0,3,2,0,0,19,0,7,36,1,0,1,0,1,0,0,0,5,0,0,0,19,0,0,10,2,2,5,5,0,0,35,39,5,9,0,0,0,0,0,24,0,1,0,33,24,0,11,0,0,4,0,3,0,0
antisocial_into_prosocial,0,5,0,0,0,0,3,4,4,0,5,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,5,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,3,0,0,0,3
authoritarianism_androcentrism,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0
authoritarianism_cultural,4,10,0,0,2,0,0,0,1,0,1,0,16,0,0,0,0,0,1,0,0,0,16,1,12,0,0,0,0,0,0,0,1,0,8,0,1,0,0,3,0,1,0,2,0,0,0,7,2,0,0,0,1,12,0,0,0,13,15,0,7,0,1,1,0,0,4,0,0,1,15,2,3,6,0,0,5,0,0,0,0
authoritarianism_gynocentric,0,6,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,3,7,0,6,0,1,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,7,0,3,0,0,0,0,0,3,0,0,6,1,0,0,7,0,0,0,0,7,0,0
authoritarianism_language,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0
